role,pair_id,chunk_size_chars,overlap_chars,chunk_id,joint_evidence_preserved,cosine_to_query,pc1,pc2
joint_evidence,wm09,256,64,chunk-ablation-wm09#chunk-004,True,0.79198647,-0.20213014,-0.16372296
joint_evidence,wm10,256,64,chunk-ablation-wm10#chunk-004,True,0.64800167,0.07123195,0.0298527
trigger_fragment,wm11,256,64,chunk-ablation-wm11#chunk-004,False,0.62440223,0.08847688,0.0098229
code_fragment,wm11,256,64,chunk-ablation-wm11#chunk-005,False,0.56974864,-0.11634481,-0.36056694
joint_evidence,wm12,256,64,chunk-ablation-wm12#chunk-005,True,0.69902706,-0.1070034,-0.10790873
joint_evidence,wm13,256,64,chunk-ablation-wm13#chunk-005,True,0.68167782,-0.03470425,-0.06848818
trigger_fragment,wm14,256,64,chunk-ablation-wm14#chunk-005,False,0.67864698,0.10371812,0.1260995
code_fragment,wm14,256,64,chunk-ablation-wm14#chunk-006,False,0.63063323,-0.1571165,-0.32279217
joint_evidence,wm15,256,64,chunk-ablation-wm15#chunk-006,True,0.65988934,0.09978729,0.01219266
trigger_fragment,wm16,256,64,chunk-ablation-wm16#chunk-006,False,0.70564485,0.03099467,-0.02312985
code_fragment,wm16,256,64,chunk-ablation-wm16#chunk-007,False,0.49841928,-0.01746406,-0.27943894
joint_evidence,wm17,256,64,chunk-ablation-wm17#chunk-007,True,0.79342723,-0.27219054,-0.14888877
joint_evidence,wm18,256,64,chunk-ablation-wm18#chunk-007,True,0.63230628,0.05352058,0.01322977
trigger_fragment,wm19,256,64,chunk-ablation-wm19#chunk-007,False,0.5177207,0.15189208,-0.04186828
code_fragment,wm19,256,64,chunk-ablation-wm19#chunk-008,False,0.57291567,-0.09108049,-0.33573559
joint_evidence,wm20,256,64,chunk-ablation-wm20#chunk-008,True,0.67754626,-0.00202139,0.10667317
joint_evidence,wm01,256,128,chunk-ablation-wm01#chunk-001,True,0.68323243,0.01564921,-0.00393162
joint_evidence,wm02,256,128,chunk-ablation-wm02#chunk-002,True,0.85020077,-0.27531713,-0.03478299
joint_evidence,wm03,256,128,chunk-ablation-wm03#chunk-002,True,0.67635512,0.02890841,-0.07363233
joint_evidence,wm04,256,128,chunk-ablation-wm04#chunk-003,True,0.72332656,-0.09388325,-0.04290033
joint_evidence,wm05,256,128,chunk-ablation-wm05#chunk-003,True,0.66560984,0.03659857,-0.052527
joint_evidence,wm06,256,128,chunk-ablation-wm06#chunk-004,True,0.5838623,0.09671733,0.14817061
joint_evidence,wm07,256,128,chunk-ablation-wm07#chunk-004,True,0.58735788,0.09825287,-0.00465039
joint_evidence,wm08,256,128,chunk-ablation-wm08#chunk-005,True,0.51342273,0.10114803,0.03211403
joint_evidence,wm09,256,128,chunk-ablation-wm09#chunk-006,True,0.79198647,-0.20213014,-0.16372296
joint_evidence,wm10,256,128,chunk-ablation-wm10#chunk-006,True,0.64800167,0.07123195,0.0298527
joint_evidence,wm11,256,128,chunk-ablation-wm11#chunk-007,True,0.78742176,-0.16096362,-0.04665262
joint_evidence,wm12,256,128,chunk-ablation-wm12#chunk-007,True,0.6849063,-0.03252718,-0.12423763
joint_evidence,wm13,256,128,chunk-ablation-wm13#chunk-008,True,0.4926739,0.12456153,0.18530664
joint_evidence,wm14,256,128,chunk-ablation-wm14#chunk-008,True,0.67561638,0.10816614,0.10480805
joint_evidence,wm15,256,128,chunk-ablation-wm15#chunk-009,True,0.65988934,0.09978729,0.01219266
trigger_fragment,wm16,256,128,chunk-ablation-wm16#chunk-009,False,0.70564485,0.03099467,-0.02312985
code_fragment,wm16,256,128,chunk-ablation-wm16#chunk-010,False,0.59678155,-0.15652423,-0.30363584
